rt_rw,kampung,desa,kecamatan,luas_ha,kewenangan,bobot_kumuh
RT001-RW001,KP. PANGARADAN,ANYAR,ANYAR,0.713,KAB/KOTA,25
RT002-RW001,KP. PANGARADAN,ANYAR,ANYAR,0.699,KAB/KOTA,23
RT003-RW001,KP. PANGARADAN,ANYAR,ANYAR,1.859,KAB/KOTA,20
RT001-RW002,KP. RANCA LEMBANG,BANDULU,ANYAR,1.634,KAB/KOTA,24
RT001-RW001,KP. KADUKANCAS,BANJARSARI,ANYAR,2.725,KAB/KOTA,24
RT003-RW001,KP. KADUKANCAS,BANJARSARI,ANYAR,1.535,KAB/KOTA,24
RT001-RW002,KP. CIGONDANG,BUNIHARA,ANYAR,1.792,KAB/KOTA,27
RT002-RW002,KP. CIGONDANG,BUNIHARA,ANYAR,2.573,KAB/KOTA,26
RT001-RW002,KP. KAMURANG GUNUNG,GROGOL INDAH,ANYAR,1.770,KAB/KOTA,16
RT004-RW002,KP. KAMURANG DESA,GROGOL INDAH,ANYAR,1.106,KAB/KOTA,20
RT001-RW002,KP. BABAKAN,SINDANG MANDI,ANYAR,1.825,KAB/KOTA,26
RT002-RW002,KP. BABAKAN,SINDANG MANDI,ANYAR,0.696,KAB/KOTA,16
RT003-RW002,KP. BABAKAN,SINDANG MANDI,ANYAR,0.803,KAB/KOTA,20
RT004-RW002,KP. BABAKAN,SINDANG MANDI,ANYAR,1.456,KAB/KOTA,16
RT001-RW002,KP. PALUPUY,SINDANG KARYA,ANYAR,0.624,KAB/KOTA,32
RT002-RW002,KP. PALUPUY,SINDANG KARYA,ANYAR,1.200,KAB/KOTA,35
RT003-RW002,KP. PALUPUY,SINDANG KARYA,ANYAR,0.850,KAB/KOTA,31
RT004-RW002,KP. PALUPUY,SINDANG KARYA,ANYAR,1.011,KAB/KOTA,22
RT005-RW002,KP. PALUPUY,SINDANG KARYA,ANYAR,1.091,KAB/KOTA,29
RT003-RW001,KP. RANCAGEDE,BABAKAN,BANDUNG,3.385,KAB/KOTA,26
RT002-RW001,KP. BANDUNG,BANDUNG,BANDUNG,2.516,KAB/KOTA,27
RT004-RW002,KP. SUKADAMAI,MALABAR,BANDUNG,2.779,KAB/KOTA,31
RT005-RW002,KP. SUKADAMAI,MALABAR,BANDUNG,2.685,KAB/KOTA,35
RT006-RW002,KP. SUKADAMAI,MALABAR,BANDUNG,2.143,KAB/KOTA,34
RT013-RW003,KP. SEUNGIR,BAROS,BAROS,2.199,KAB/KOTA,26
RT005-RW002,KP. CIHUNYUR,CISALAM,BAROS,2.865,KAB/KOTA,28
RT016-RW005,KP. CIHUNYUR,CISALAM,BAROS,0.927,KAB/KOTA,21
RT005-RW003,KP. CURUGAGUNG,CURUG AGUNG,BAROS,1.838,KAB/KOTA,24
