KECAMATAN,DESA,KAMPUNG,RT/RW,LUAS (Ha),KEWENANGAN,Bobot Kumuh,Tingkat Kekumuhan Awal,Pembagian Kawasan Kumuh,BANGUNAN-JALAN LINGKUNGAN (Unit)-KEBUTUHAN,BANGUNAN-JALAN LINGKUNGAN (Unit)-NUMERIK,BANGUNAN-RELOKASI (Ha)-KEBUTUHAN,BANGUNAN-RELOKASI (Ha)-NUMERIK,BANGUNAN-RTLH (Unit)-KEBUTUHAN,BANGUNAN-RTLH (Unit)-NUMERIK,JALAN LINGKUNGAN-JALAN BARU (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN BARU (M)-NUMERIK,JALAN LINGKUNGAN-JALAN RUSAK (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN RUSAK (M)-NUMERIK,AIR MINUM-SAB AKSES (KK)-KEBUTUHAN,AIR MINUM-SAB AKSES (KK)-NUMERIK,AIR MINUM-SAB KEBUTUHAN (KK)-KEBUTUHAN,AIR MINUM-SAB KEBUTUHAN (KK)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-NUMERIK,SANITASI-SETPITENG KOMUNAL (KK)-KEBUTUHAN,SANITASI-SETPITENG KOMUNAL (KK)-NUMERIK,SANITASI-JAMBAN PRIBADI (KK)-KEBUTUHAN,SANITASI-JAMBAN PRIBADI (KK)-NUMERIK,PERSAMPAHAN-TPS/TPST (KK)-KEBUTUHAN,PERSAMPAHAN-TPS/ TPST (KK)-NUMERIK,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -KEBUTUHAN,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -NUMERIK,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-KEBUTUHAN,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-NUMERIK,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-KEBUTUHAN,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-NUMERIK
ANYAR,ANYAR,KP. PANGARADAN,RT001-RW001,0.712908367704,KAB/KOTA,25,KUMUH RINGAN,Kawasan Pesisir Barat,13,1,0,0,4,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,25,3,25,3,35,5,23,3,35,0,28,5
ANYAR,ANYAR,KP. PANGARADAN,RT002-RW001,0.699054292106,KAB/KOTA,23,KUMUH RINGAN,Kawasan Pesisir Barat,11,1,0,0,8,1,0,0,220,1,44,5,0,0,0,0,0,0,0,0,11,1,11,1,44,5,32,3,44,0,30,5
ANYAR,ANYAR,KP. PANGARADAN,RT003-RW001,1.8591627705,KAB/KOTA,20,KUMUH RINGAN,Kawasan Pesisir Barat,8,0,0,0,9,0,0,0,55,0,63,5,0,0,0,0,0,0,0,0,0,0,4,0,63,5,51,5,63,0,42,5
ANYAR,BANDULU,KP. RANCA LEMBANG,RT001-RW002,1.63391721095,KAB/KOTA,24,KUMUH RINGAN,Kawasan Pesisir Barat,0,0,0,0,1,0,0,0,420,3,0,0,38,1,0,0,510,5,50,0,0,0,0,0,76,5,76,5,76,0,70,5
ANYAR,BANJARSARI,KP. KADUKANCAS,RT001-RW001,2.72546094541,KAB/KOTA,24,KUMUH RINGAN,Kawasan Pesisir Barat,4,0,0,0,3,0,350,1,0,0,0,0,70,5,0,0,670,3,0,0,0,0,0,0,70,5,70,5,70,0,56,5
ANYAR,BANJARSARI,KP. KADUKANCAS,RT003-RW001,1.53461474356,KAB/KOTA,24,KUMUH RINGAN,Kawasan Pesisir Barat,4,0,0,0,2,0,130,1,80,0,0,0,41,5,0,0,320,3,0,0,2,0,2,0,41,5,41,5,41,0,36,5
ANYAR,BUNIHARA,KP. CIGONDANG,RT001-RW002,1.7916208053,KAB/KOTA,27,KUMUH RINGAN,Kawasan Pesisir Barat,64,3,0,0,13,0,0,0,460,3,43,1,23,0,0,0,700,5,40,0,6,0,6,0,120,5,120,5,120,0,100,5
ANYAR,BUNIHARA,KP. CIGONDANG,RT002-RW002,2.57325380378,KAB/KOTA,26,KUMUH RINGAN,Kawasan Pesisir Barat,40,1,0,0,9,0,0,0,470,3,32,1,46,1,0,0,1200,5,0,0,6,0,6,0,103,5,103,5,103,0,89,5
ANYAR,GROGOL INDAH,KP. KAMURANG GUNUNG,RT001-RW002,1.77048334771,KAB/KOTA,16,KUMUH RINGAN,Kawasan Pesisir Barat,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,130,1,0,0,0,0,57,5,57,5,57,0,55,5
ANYAR,GROGOL INDAH,KP. KAMURANG DESA,RT004-RW002,1.10621426599,KAB/KOTA,20,KUMUH RINGAN,Kawasan Pesisir Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,37,5,43,5,38,5
